Source,Target,weight
Stephen Curry,Kevin Durant,1
Stephen Curry,Klay Thompson,3
Stephen Curry,Draymond Green,2
Kevin Durant,Klay Thompson,1
Kevin Durant,Draymond Green,1
Klay Thompson,Draymond Green,2
Kyrie Irving,LeBron James,2
Kyrie Irving,Kevin Love,1
DeMar DeRozan,Kyle Lowry,2
LeBron James,Kevin Love,1
Dwyane Wade,Chris Bosh,6
Jimmy Butler,Pau Gasol,2
Paul Millsap,Al Horford,2
Kevin Durant,Russell Westbrook,5
Kawhi Leonard,LaMarcus Aldridge,1
Al Horford,Jeff Teague,1
Al Horford,Kyle Korver,1
Jeff Teague,Paul Millsap,1
Jeff Teague,Kyle Korver,1
Paul Millsap,Kyle Korver,1
Blake Griffin,Chris Paul,4
LaMarcus Aldridge,Damian Lillard,2
James Harden,Dwight Howard,1
LeBron James,Dwyane Wade,4
LeBron James,Chris Bosh,4
Paul George,Roy Hibbert,1
Dwight Howard,Kobe Bryant,1
Tim Duncan,Tony Parker,4
Rajon Rondo,Kevin Garnett,3
Carmelo Anthony,Tyson Chandler,1
Joakim Noah,Luol Deng,1
Derrick Rose,Luol Deng,1
Paul Pierce,Rajon Rondo,3
Kobe Bryant,Andrew Bynum,1
Kobe Bryant,Pau Gasol,3
Manu Ginobili,Tim Duncan,2
Kevin Garnett,Paul Pierce,4
Kevin Garnett,Ray Allen,3
Paul Pierce,Ray Allen,3
Rajon Rondo,Ray Allen,1
Al Horford,Joe Johnson,2
Dirk Nowitzki,Jason Kidd,1
Steve Nash,Amar'e Stoudemire,4
Carmelo Anthony,Chauncey Billups,1
Shaquille O'Neal,Amar'e Stoudemire,1
David West,Chris Paul,2
Dwight Howard,Rashard Lewis,1
Dwight Howard,Jameer Nelson,1
LeBron James,Mo Williams,1
Rashard Lewis,Jameer Nelson,1
Allen Iverson,Carmelo Anthony,2
Chauncey Billups,Richard Hamilton,3
Chauncey Billups,Rasheed Wallace,2
Caron Butler,Antawn Jamison,1
Richard Hamilton,Rasheed Wallace,2
Tracy McGrady,Yao Ming,3
Steve Nash,Shawn Marion,3
Amar'e Stoudemire,Shawn Marion,2
Carlos Boozer,Mehmet Okur,1
Dirk Nowitzki,Josh Howard,1
Gilbert Arenas,Caron Butler,1
Dwyane Wade,Shaquille O'Neal,3
Vince Carter,Jason Kidd,1
Chauncey Billups,Ben Wallace,1
Richard Hamilton,Ben Wallace,1
Ben Wallace,Rasheed Wallace,1
Ray Allen,Rashard Lewis,1
LeBron James,Zydrunas Ilgauskas,1
Gilbert Arenas,Antawn Jamison,1
Steve Francis,Yao Ming,2
Kobe Bryant,Shaquille O'Neal,4
Kevin Garnett,Sam Cassell,1
Peja Stojakovic,Brad Miller,1
Jermaine O'Neal,Metta World Peace,1
Jason Kidd,Kenyon Martin,1
Baron Davis,Jamaal Magloire,1
Jermaine O'Neal,Brad Miller,1
Paul Pierce,Antoine Walker,2
Stephon Marbury,Shawn Marion,1
Steve Nash,Dirk Nowitzki,2
Peja Stojakovic,Chris Webber,2
Dikembe Mutombo,Allen Iverson,1
Kevin Garnett,Wally Szczerbiak,1
Allen Iverson,Theo Ratliff,1
Tracy McGrady,Grant Hill,1
Vince Carter,Antonio Davis,1
Alonzo Mourning,Anthony Mason,1
Ray Allen,Glenn Robinson,1
Latrell Sprewell,Allan Houston,1
Tim Duncan,David Robinson,1
Chris Webber,Vlade Divac,1
